stage,host,kind,training_seed,condition,env_seed,policy_seed,success,policy_steps,reason,source_summary
additional,H1,random_depth,0,none,910008,1010008,True,532,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,none,910009,1010009,True,500,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,none,910010,1010010,True,587,dwell_complete,withheld-source-7ef1bd7db6f98487196b
additional,H1,random_depth,0,top,910008,1010008,True,838,dwell_complete,withheld-source-61064da19b71403eb1f3
additional,H1,random_depth,0,top,910009,1010009,False,2000,max_steps,withheld-source-61064da19b71403eb1f3
additional,H1,random_depth,0,top,910010,1010010,False,2000,max_steps,withheld-source-61064da19b71403eb1f3
additional,H1,random_depth,0,head,910008,1010008,True,531,dwell_complete,withheld-source-55f1e2aab4d750af5322
additional,H1,random_depth,0,head,910009,1010009,True,718,dwell_complete,withheld-source-55f1e2aab4d750af5322
additional,H1,random_depth,0,head,910010,1010010,True,799,dwell_complete,withheld-source-55f1e2aab4d750af5322
additional,H1,rgb_bibranch_matched,0,none,910008,1010008,True,427,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,none,910009,1010009,True,494,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,none,910010,1010010,True,466,dwell_complete,withheld-source-b8199c1e88539c59b569
additional,H1,rgb_bibranch_matched,0,top,910008,1010008,True,501,dwell_complete,withheld-source-2ded13d2e15fc8b3871b
additional,H1,rgb_bibranch_matched,0,top,910009,1010009,False,2000,max_steps,withheld-source-2ded13d2e15fc8b3871b
additional,H1,rgb_bibranch_matched,0,top,910010,1010010,False,2000,max_steps,withheld-source-2ded13d2e15fc8b3871b
additional,H1,rgb_bibranch_matched,0,head,910008,1010008,True,560,dwell_complete,withheld-source-5d55230a05c405252250
additional,H1,rgb_bibranch_matched,0,head,910009,1010009,True,807,dwell_complete,withheld-source-5d55230a05c405252250
additional,H1,rgb_bibranch_matched,0,head,910010,1010010,True,660,dwell_complete,withheld-source-5d55230a05c405252250
additional,H1,depth_only,0,none,910008,1010008,False,2000,max_steps,withheld-source-f18a958fd97eb4aabf52
additional,H1,depth_only,0,none,910009,1010009,True,522,dwell_complete,withheld-source-f18a958fd97eb4aabf52
additional,H1,depth_only,0,none,910010,1010010,False,2000,max_steps,withheld-source-f18a958fd97eb4aabf52
additional,H1,depth_only,0,top,910008,1010008,False,2000,max_steps,withheld-source-b5d8c43cff03feffa706
additional,H1,depth_only,0,top,910009,1010009,True,722,dwell_complete,withheld-source-b5d8c43cff03feffa706
additional,H1,depth_only,0,top,910010,1010010,False,2000,max_steps,withheld-source-b5d8c43cff03feffa706
additional,H1,depth_only,0,head,910008,1010008,False,2000,max_steps,withheld-source-f0c528e2fb40e5725e8d
additional,H1,depth_only,0,head,910009,1010009,True,628,dwell_complete,withheld-source-f0c528e2fb40e5725e8d
additional,H1,depth_only,0,head,910010,1010010,False,2000,max_steps,withheld-source-f0c528e2fb40e5725e8d
additional,H1,depth_stacking,0,none,910008,1010008,True,422,dwell_complete,withheld-source-e6f7d12adb7ff1c5b3da
additional,H1,depth_stacking,0,none,910009,1010009,True,432,dwell_complete,withheld-source-e6f7d12adb7ff1c5b3da
