tag,group,kind,success,joint_index,joint_name,per_joint_signed_work_j,per_joint_positive_work_j,per_joint_absolute_work_j,per_joint_peak_absolute_power_w,per_joint_peak_absolute_torque_nm,per_joint_peak_absolute_velocity_rad_s,per_joint_min_limit_margin_rad
record-e45d079c76b82f78,corrected,rgb,False,1,shoulder,100.65722550323865,103.61878301780251,106.58034053236855,19.400831400614532,132.06509079986245,0.1854096627998316,0.5353723977404345
record-e45d079c76b82f78,corrected,rgb,False,2,elbow,478.06351733873413,484.6888269021785,491.31413646562265,199.01810748779405,505.7112594081191,0.46331452719830485,0.33537866151445117
record-e45d079c76b82f78,corrected,rgb,False,3,forearm_roll,-0.10953515295479949,0.17603496901010118,0.46160509097498076,0.07273116084852213,6.049569652562695,0.014798487234232884,2.70744494181159
record-e45d079c76b82f78,corrected,rgb,False,4,wrist_angle,78.60876066239099,79.89151047012689,81.1742602778626,26.164208105734694,56.40993031089101,0.5066880670348619,0.28628308143132153
record-432695a066994534,corrected,rgb,False,0,waist,121.39503110458008,127.74445344360059,134.09387578262837,12.310474031680652,69.7107272069673,0.18796472522852906,27.732404646107515
record-432695a066994534,corrected,rgb,False,1,shoulder,110.03348075660789,113.5349923576969,117.03650395878496,23.893239693977275,149.7067583442058,0.17777842769287064,0.700670197617553
record-432695a066994534,corrected,rgb,False,2,elbow,509.37838841502935,516.2646837154088,523.1509790157884,151.7246398526488,437.4010591861934,0.4004870363813352,0.619443559519866
record-432695a066994534,corrected,rgb,False,3,forearm_roll,-0.12735021488478704,0.17542229010199942,0.47819479508877877,0.055925087009084225,4.849824152449401,0.013433770812123496,2.6672895287709313
record-432695a066994534,corrected,rgb,False,4,wrist_angle,76.34523263711274,77.8961259462948,79.44701925547676,26.22362197390628,55.978149764891214,0.5003180106087645,0.30136527836142735
record-2369620f3ccc9b41,corrected,rgb,False,0,waist,130.15318928742295,140.13797345367644,150.12275761992544,12.11462213614618,70.33424963698963,0.18631317435964528,27.744349090370285
record-2369620f3ccc9b41,corrected,rgb,False,1,shoulder,95.19760499205093,97.95381012780584,100.71001526356089,59.25496691849658,236.4556131919344,0.3089816887485521,0.4687543747948537
record-2369620f3ccc9b41,corrected,rgb,False,2,elbow,309.6823369709342,313.4664213621198,317.2505057533036,522.2818089677351,833.3946536475851,0.7709724648288495,0.30268272721218925
record-2369620f3ccc9b41,corrected,rgb,False,3,forearm_roll,-0.06707116200584892,0.42546691290478555,0.9180049878154248,0.14956071850550193,7.953507182056455,0.02300327179543644,2.6949821145570327
record-2369620f3ccc9b41,corrected,rgb,False,4,wrist_angle,67.6166571474038,69.88431737380792,72.15197760021562,24.525150505568718,56.52577249940691,0.4688979326827336,0.12475232303731643
record-1de1847a13a5d0d4,corrected,rgb,False,0,waist,257.94556315452115,263.22659904465974,268.507634934799,10.772038730919776,66.72532943090118,0.17475830211317556,21.552185576235424
record-1de1847a13a5d0d4,corrected,rgb,False,1,shoulder,107.76771358924603,111.67220319349809,115.57669279774998,23.608782032632732,142.01884192551006,0.19958704417838768,0.49940548303935806
record-1de1847a13a5d0d4,corrected,rgb,False,2,elbow,422.1007843722132,427.60052983858156,433.10027530495006,232.00923389097275,534.7818072081318,0.5028449563920919,0.327673121664793
record-1de1847a13a5d0d4,corrected,rgb,False,3,forearm_roll,0.05489687849770807,0.28701649159008813,0.5191361046824785,0.3270308037079993,10.626990410892176,0.03302796143681603,2.7738775116610714
record-1de1847a13a5d0d4,corrected,rgb,False,4,wrist_angle,64.41189631385753,66.81123634800588,69.21057638215336,23.641552919764347,56.7937785277677,0.4545938821224151,0.14050248037904423
record-3ba4cb42eb2bdfdb,corrected,rgb,False,0,waist,374.59287176202156,378.49707928079806,382.40128679957536,11.86537966914002,68.21331624154885,0.18542383006996674,15.290341083963646
record-3ba4cb42eb2bdfdb,corrected,rgb,False,1,shoulder,182.78539856935927,187.56283510924285,192.34027164912237,80.10329861449848,310.93266447504993,0.3500342903418509,0.4968398409050947
record-3ba4cb42eb2bdfdb,corrected,rgb,False,2,elbow,1036.6584304098071,1052.0812949934552,1067.5041595771006,654.2183964762423,1033.8553641459366,0.8664110058396504,0.33399806690741496
record-3ba4cb42eb2bdfdb,corrected,rgb,False,3,forearm_roll,0.7168257329722825,0.9005141104691693,1.084202487966053,0.2876766551645549,10.124356589117497,0.0318800806036588,2.8406618061267452
record-3ba4cb42eb2bdfdb,corrected,rgb,False,4,wrist_angle,89.84828342482102,91.90578636842571,93.96328931203037,27.22320822627937,56.3548064419457,0.5177091218649265,0.012075734071538946
record-762cb3a7bbdf8612,corrected,rgb,False,0,waist,117.09715561405682,122.67496931705311,128.25278302004955,12.4896240788331,69.40054335443796,0.19202507011045652,27.84646381760209
record-762cb3a7bbdf8612,corrected,rgb,False,1,shoulder,92.24038144941261,95.98228480864363,99.72418816787535,42.7495807205637,210.99574900444532,0.27036583297203354,0.5157813469940348
record-762cb3a7bbdf8612,corrected,rgb,False,2,elbow,475.81803952038115,482.80715974653685,489.7962799726922,399.36095361452703,759.828868343091,0.6715475599827674,0.31466287813462324
record-762cb3a7bbdf8612,corrected,rgb,False,3,forearm_roll,0.03973231608546456,0.30492177550455535,0.5701112349236199,0.0790207704800395,5.85224187095173,0.015338930354974727,2.6992520718037762
